epoch;bytes
1;262160
2;262160
3;262163
4;262111
5;262048
6;262060
7;262018
8;261965
9;261834
10;261887
11;261801
12;261784
13;261482
14;261307
15;261194
16;261165
17;261103
18;260919
19;260854
20;260603
21;260585
22;260158
23;260326
24;260321
25;259966
26;259917
27;259897
28;259876
29;259843
30;259660
31;259581
32;259546
33;259488
34;259454
35;259399
36;259279
37;259287
38;259242
39;259282
40;259299
41;259214
42;258832
43;258847
44;258790
45;258675
46;258623
47;258598
48;258714
49;258522
50;258453
51;258339
52;258321
53;258265
54;258288
55;258301
56;258263
57;258173
58;258160
59;258114
60;258183
61;258152
62;258004
63;257909
64;257735
65;257764
66;257778
67;257770
68;257731
69;257706
70;257654
71;257595
72;257544
73;257482
74;257442
75;257302
76;257174
77;257071
78;256850
79;256873
80;256884
81;256778
82;256654
83;256573
84;256525
85;256528
86;256358
87;256382
88;256402
89;256388
90;256402
91;256435
92;256358
93;256311
94;256225
95;256205
96;256157
97;256103
98;256066
99;255923
100;255890
101;255874
102;255752
103;255712
104;255677
105;255699
106;255744
107;255613
108;255525
109;255551
110;255551
111;255566
112;255514
113;255357
114;255351
115;255281
116;255242
117;255133
118;255140
119;255161
120;255047
121;255034
122;255036
123;255038
124;255026
125;255013
126;255081
127;255029
128;254974
129;254891
130;254852
131;254823
132;254793
133;254815
134;254644
135;254522
136;254542
137;254530
138;254438
139;254414
140;254385
141;254336
142;254273
143;254221
144;254218
145;254227
146;254348
147;254235
148;254209
149;254166
150;254097
151;254143
152;254089
153;254024
154;253918
155;253875
156;253807
157;253751
158;253705
159;253630
160;253553
161;253568
162;253585
163;253545
164;253679
165;253490
166;253470
167;253421
168;253493
169;253416
170;253404
171;253296
172;253223
173;253138
174;253082
175;253151
176;253190
177;253078
178;253085
179;252896
180;252827
181;252878
182;252864
183;252808
184;252765
185;252744
186;252627
187;252498
188;252499
189;252517
190;252488
191;252504
192;252402
193;252407
194;252392
195;252434
196;252425
197;252517
198;252537
199;252394
200;252295
201;252303
202;252217
203;252205
204;252186
205;252151
206;252226
207;252294
208;252220
209;252226
210;252202
211;252178
212;252242
213;252190
214;252131
215;252064
216;251997
217;251949
218;251824
219;251825
220;251741
221;251691
222;251704
223;251683
224;251585
225;251608
226;251541
227;251585
228;251446
229;251352
230;251320
231;251274
232;251331
233;251346
234;251287
235;251246
236;251217
237;251128
238;251150
239;251193
240;251214
241;251148
242;251045
243;251118
244;251124
245;251099
246;251052
247;250960
248;251023
249;250950
250;250852
251;250862
252;250821
253;250829
254;250863
255;250874
256;250835
257;250807
258;250730
259;250650
260;250558
261;250653
262;250670
263;250771
264;250845
265;250790
266;250898
267;250822
268;250830
269;250664
270;250575
271;250611
272;250551
273;250480
274;250443
275;250393
276;250339
277;250406
278;250385
279;250142
280;250198
281;250242
282;250213
283;250175
284;250259
285;250268
286;250196
287;250240
288;250295
289;250178
290;250203
291;250168
292;250096
293;250096
294;250086
295;250045
296;250031
297;249988
298;249912
299;249950
300;249880
301;249846
302;249816
303;249550
304;249518
305;249440
306;249288
307;249215
308;249083
309;249069
310;248993
311;248972
312;248943
313;248991
314;248957
315;249028
316;248995
317;248961
318;248893
319;248930
320;248969
321;249025
322;249057
323;249096
324;249195
325;249129
326;249091
327;249089
328;249047
329;249006
330;248930
331;248942
332;248997
333;248954
334;248983
335;248846
336;248790
337;248878
338;248789
339;248693
340;248622
341;248580
342;248662
343;248625
344;248585
345;248545
346;248521
347;248614
348;248602
349;248529
350;248192
351;248082
352;248071
353;248086
354;248110
355;248132
356;248160
357;248201
358;248168
359;248070
360;248017
361;248054
362;248097
363;248069
364;248072
365;247927
366;248001
367;247961
368;247922
369;247864
370;247885
371;247979
372;247906
373;247906
374;247808
375;247717
376;247724
377;247640
378;247719
379;247610
380;247489
381;247442
382;247402
383;247515
384;247400
385;247345
386;247419
387;247463
388;247333
389;247248
390;247257
391;247199
392;247176
393;247160
394;247094
395;247205
396;247285
397;247220
398;247278
399;247306
400;247378
401;247292
402;247183
403;247128
404;247150
405;247112
406;247117
407;247154
408;247164
409;247123
410;247090
411;247073
412;246988
413;247115
414;247135
415;247218
416;247163
417;246967
418;246939
419;246934
420;246922
421;246852
422;246838
423;246773
424;246735
425;246661
426;246643
427;246634
428;246717
429;246767
430;246807
431;246942
432;247021
433;246956
434;247149
435;247146
436;247104
437;247057
438;246992
439;246957
440;246947
441;246868
442;246856
443;246914
444;246904
445;246752
446;246714
447;246677
448;246745
449;246663
450;246640
451;246569
452;246629
453;246728
454;246723
455;246695
456;246752
457;246794
458;246828
459;246719
460;246832
461;246827
462;246772
463;246885
464;246818
465;246701
466;246757
467;246801
468;246710
469;246735
470;246684
471;246687
472;246712
473;246640
474;246676
475;246394
476;246392
477;246367
478;246441
479;246477
480;246338
481;246298
482;246346
483;246325
484;246424
485;246416
486;246482
487;246287
488;246183
489;246017
490;245988
491;245952
492;245916
493;245928
494;246023
495;246028
496;246033
497;245918
498;245763
499;245739
500;245666
501;245696
502;245575
503;245473
504;245445
505;245502
506;245496
507;245513
508;245514
509;245577
510;245604
511;245603
512;245596
513;245648
514;245541
515;245518
516;245396
517;245243
518;245199
519;245206
520;245149
521;245071
522;245071
523;245245
524;245033
525;245105
526;245047
527;244913
528;244902
529;244725
530;244743
531;244627
532;244704
533;244666
534;244610
535;244634
536;244631
537;244448
538;244439
539;244583
540;244609
541;244647
542;244665
543;244648
544;244617
545;244658
546;244430
547;244435
548;244329
549;244241
550;244285
551;244333
552;244259
553;244162
554;244176
555;244059
556;243936
557;243978
558;243805
559;243814
560;243907
561;244004
562;244049
563;244124
564;244057
565;244123
566;244047
567;243979
568;244021
569;244024
570;243946
571;244052
572;244042
573;244117
574;244121
575;244166
576;244207
577;244194
578;244231
579;244149
580;244018
581;243881
582;243825
583;243790
584;243792
585;243795
586;243838
587;243759
588;243723
589;243672
590;243701
591;243917
592;243799
593;243904
594;243957
595;243810
596;243725
597;243801
598;243711
599;243702
600;243713
601;243650
602;243772
603;243716
604;243630
605;243631
606;243719
607;243641
608;243636
609;243785
610;243786
611;243794
612;243692
613;243764
614;243718
615;243669
616;243683
617;243723
618;243706
619;243872
620;243836
621;243714
622;243723
623;243765
624;243742
625;243756
626;243607
627;243485
628;243425
629;243383
630;243475
631;243466
632;243416
633;243518
634;243594
635;243599
636;243645
637;243684
638;243725
639;243688
640;243622
641;243594
642;243660
643;243681
644;243585
645;243593
646;243631
647;243649
648;243683
649;243713
650;243736
651;243683
652;243701
653;243714
654;243700
655;243624
656;243715
657;243647
658;243806
659;243904
660;243933
661;243928
662;243932
663;243959
664;243991
665;243986
666;244053
667;243886
668;243961
669;243875
670;243862
671;243772
672;243840
673;243953
674;243908
675;243823
676;243797
677;243888
678;243869
679;243929
680;243946
681;243915
682;243999
683;243958
684;243903
685;243914
686;243985
687;244009
688;243878
689;243745
690;243875
691;243846
692;243773
693;243726
694;243611
695;243692
696;243728
697;243881
698;243884
699;243936
700;243864
701;243867
702;243792
703;243848
704;243865
705;243934
706;243987
707;243797
708;243892
709;243991
710;244011
711;243955
712;244023
713;243948
714;244000
715;243953
716;244026
717;243978
718;243999
719;244055
720;244045
721;244168
722;244157
723;244181
724;244142
725;244182
726;244289
727;244317
728;244316
729;244208
730;244068
731;244055
732;243937
733;244050
734;243971
735;244007
736;243994
737;243971
738;244012
739;244206
740;244237
741;244205
742;244193
743;244317
744;244326
745;244373
746;244395
747;244375
748;244393
749;244392
750;244409
751;244472
752;244515
753;244491
754;244516
755;244449
756;244466
757;244457
758;244457
759;244513
760;244591
761;244714
762;244707
763;244728
764;244786
765;244796
766;244799
767;245024
768;245174
769;245121
770;245099
771;245113
772;244980
773;245022
774;245066
775;245142
776;245105
777;245175
778;245298
779;245271
780;245214
781;245165
782;245232
783;245305
784;245347
785;245234
786;245246
787;245379
788;245338
789;245346
790;245335
791;245331
792;245313
793;245350
794;245303
795;245270
796;245353
797;245357
798;245344
799;245314
800;245299
801;245371
802;245508
803;245503
804;245523
805;245501
806;245547
807;245607
808;245755
809;245708
810;245669
811;245620
812;245583
813;245636
814;245624
815;245535
816;245628
817;245600
818;245762
819;245642
820;245596
821;245518
822;245584
823;245665
824;245675
825;245837
826;245811
827;245850
828;245904
829;245866
830;245869
831;245874
832;245755
833;245740
834;245646
835;245686
836;245713
837;245825
838;245967
839;245925
840;246038
841;246110
842;246093
843;246121
844;246133
845;246203
846;246205
847;246164
848;246256
849;246218
850;246228
851;246329
852;246269
853;246270
854;246020
855;246068
856;246064
857;246041
858;245897
859;245828
860;245928
861;245903
862;245899
863;245955
864;245913
865;245856
866;245926
867;245957
868;245921
869;245889
870;245772
871;245773
872;245790
873;245847
874;245883
875;245858
876;245867
877;246084
878;245937
879;245993
880;246065
881;246173
882;246215
883;246137
884;246020
885;246022
886;246079
887;246132
888;246058
889;246121
890;246088
891;246162
892;246134
893;246134
894;246160
895;246089
896;246098
897;246055
898;246081
899;246069
900;246138
901;246129
902;246202
903;246189
904;246124
905;246137
906;246174
907;246067
908;246108
909;246211
910;246263
911;246161
912;246214
913;246104
914;246034
915;246057
916;246213
917;246208
918;246299
919;246315
920;246375
921;246361
922;246343
923;246339
924;246179
925;246155
926;246106
927;246118
928;246130
929;246097
930;246166
931;246240
932;246201
933;246297
934;246262
935;246230
936;246134
937;246184
938;246340
939;246389
940;246325
941;246387
942;246340
943;246483
944;246461
945;246364
946;246394
947;246362
948;246298
949;246275
950;246362
951;246163
952;246041
953;246065
954;246134
955;246296
956;246254
957;246218
958;246210
959;246266
960;246242
961;246290
962;246308
963;246370
964;246274
965;246305
966;246278
967;246237
968;246251
969;246159
970;246096
971;246077
972;246013
973;245877
974;245917
975;245979
976;245988
977;245993
978;245958
979;245957
980;245876
981;245939
982;245876
983;245909
984;245879
985;245886
986;245897
987;245942
988;246022
989;246033
990;246069
991;246037
992;246097
