epoch,complexity,ops_per_interaction,top_tape_count
1,-0.001142,59.974,1
100,0.187798,68.880,1
200,0.292243,75.802,2
300,0.359599,70.672,1
400,0.426977,84.873,1
500,0.474403,78.732,1
600,0.526533,85.791,2
700,0.515858,95.252,1
800,0.463239,113.478,1
900,0.431402,100.888,1
1000,0.412795,117.965,1
1100,0.377781,126.015,1
1200,0.372870,124.120,1
1300,0.354527,142.995,1
1400,0.331398,144.316,1
1500,0.316825,147.569,1
1600,0.291778,158.570,1
1700,0.304178,166.218,1
1800,0.265652,176.436,1
1900,0.231248,166.132,1
2000,0.200615,165.281,1
2100,0.189245,187.865,1
2200,0.183710,178.842,1
2300,0.160632,179.990,1
2400,0.138705,178.065,1
2500,0.153664,164.838,1
2600,0.132843,168.800,1
2700,0.136611,164.848,1
2800,0.134628,160.149,1
2900,0.150227,172.141,1
3000,0.140270,183.270,1
3100,0.163913,174.732,1
3200,0.150874,183.494,1
3300,0.145323,179.074,1
3400,0.132313,182.678,1
3500,0.138718,196.055,1
3600,0.139214,204.469,1
3700,0.103399,212.512,1
3800,0.101273,226.728,1
3900,0.103712,234.632,1
4000,0.115346,246.625,1
4100,0.104818,242.499,1
4200,0.085268,237.050,1
4300,0.077843,238.188,1
4400,0.069824,240.823,1
4500,0.062899,241.012,1
4600,0.059936,245.034,1
4700,0.065760,236.386,1
4800,0.068898,217.532,1
4900,0.065237,221.992,1
5000,0.068163,226.826,1
5100,0.063859,206.544,1
5200,0.052173,223.676,1
5300,0.072191,216.235,1
5400,0.081570,213.826,1
5500,0.087224,200.160,1
5600,0.087346,202.683,1
5700,0.088341,228.959,1
5800,0.085803,226.061,1
5900,0.105412,229.868,1
6000,0.098207,223.315,1
6100,0.108902,236.429,1
6200,0.106531,237.310,1
6300,0.120320,260.804,1
6400,0.118601,265.529,1
6500,0.108617,292.616,1
6600,0.117126,266.595,1
6700,0.125853,286.222,1
6800,0.129321,287.166,1
6900,0.136074,271.103,1
7000,0.140732,295.582,1
7100,0.115569,312.493,1
7200,0.113731,311.780,1
7300,0.120617,298.767,1
7400,0.124653,307.187,1
7500,0.115190,304.837,1
7600,0.114304,315.801,1
7700,0.106686,310.437,1
7800,0.102792,314.625,1
7900,0.096794,322.271,1
8000,0.084665,320.576,1
8100,0.089869,303.804,1
8200,0.082676,317.430,1
8300,0.094092,319.788,1
8400,0.108554,318.879,1
8500,0.099883,299.049,1
8600,1.137444,317.761,35
